5.กลุ่มสาระสุนทรียศาสตร์ (Aesthetics),,คนรับผิดชอบตอนนี้,นาย,,
SubID,SubNameENG,SubNameTHA,Credit,longCredit,belongTo
1007101,Horticulture for life Quality and Environment,พืชสวนเพื่อคุณภาพชีวิตและสิ่งแวดล้อม,2,2-0-4,Faculty of Agriculture
1009102,Agricultural Resources and Environment,ทรัพยากรการเกษตรและสิ่งแวดล้อม,3,3-0-6,Faculty of Agriculture
1240011,Design in Everyday Life,การออกแบบในชีวิตประจำวัน,3,3-0-6,Faculty of Architecture
1255101,Man and Sea,มนุษย์กับทะเล,3,3-0-6,Faculty of Fisheries
1376101,Literature and Life,วรรณกรรมกับชีวิต,3,3-0-6,Faculty of Humanities
1420201,Gems and Jewelry,อัญมณีและเครื่องประดับ,3,3-0-6,Faculty of Science
1999034,Art Perception,ศิลปวิจักษณ์,3,3-0-6,Integration Section of General Education
1999035,Music Culture in Life,วัฒนธรรมดนตรีกับชีวิต,3,3-0-6,Integration Section of General Education
2708102,Literature and Science,วรรณกรรมกับวิทยาศาสตร์,3,3-0-6,Faculty of Liberal Arts and Science Kamphaeng Saen Campus
3600012,Green Technology,เทคโนโลยีสีเขียว,3,3-0-6,Faculty of Engineering Sri Racha Campus
3751111,Man and Environment,มนุษย์กับสิ่งแวดล้อม,3,3-0-6,Faculty of Management Science Sri Racha Campus